mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_knn__metric,param_knn__n_neighbors,param_knn__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.3443047046661376,0.029817453963711056,239.20462350845338,2.7882750204478586,manhattan,3,uniform,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 3, 'knn__weights': 'uniform'}",0.518422862215147,0.5213343367085399,0.5074767351568988,0.5117208997614072,0.5088868293737315,0.5135683326431448,0.005409516014537114,11
1.4163645267486573,0.02564743966040081,484.4448974609375,9.413025940569197,euclidean,3,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 3, 'knn__weights': 'distance'}",0.5205747396207886,0.5086495008805899,0.5032604271242952,0.5117656253972667,0.5039673816766669,0.5096435349399214,0.0062919851978392805,12
1.3438560485839843,0.017965988182855726,238.18668398857116,1.800354462827343,manhattan,7,uniform,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 7, 'knn__weights': 'uniform'}",0.5157633625397734,0.5100091273691036,0.5009121473312067,0.5081217972785587,0.5108156753595837,0.5091244219756452,0.004820068144224105,13
1.3414666652679443,0.004509829099972329,251.8816926956177,0.6043825664651591,manhattan,6,uniform,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 6, 'knn__weights': 'uniform'}",0.509271825111344,0.520435977786325,0.49753213121873613,0.4997089102634513,0.5141734168297394,0.5082244522419191,0.008630743997666392,14
1.3521855831146241,0.016030869964563103,251.2525484085083,0.6148308116238494,manhattan,4,uniform,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 4, 'knn__weights': 'uniform'}",0.5110049022196768,0.5177524165344475,0.500330980065612,0.5044488709873779,0.5035591224418059,0.5074192584497841,0.006222516201274927,15
1.3607090950012206,0.026913570429418287,487.57957034111024,6.526726001193402,euclidean,5,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 5, 'knn__weights': 'uniform'}",0.5091714445716555,0.5107899514921466,0.4945582962663724,0.5041793298315655,0.49914358937995446,0.5035685223083388,0.006077484149283832,16
1.3719045639038085,0.02801913023035316,489.61075286865236,2.1565235308893955,euclidean,7,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 7, 'knn__weights': 'uniform'}",0.5073875958539937,0.4983077834800831,0.49591941614116253,0.4977107412697322,0.49881027235560166,0.49962716182011463,0.004001311028682521,17
1.4230109214782716,0.07890743500600342,503.11947870254517,5.085953803386958,euclidean,3,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 3, 'knn__weights': 'uniform'}",0.5115414801666229,0.5001266848377753,0.49277651821103846,0.5003085485237151,0.4904511801933434,0.4990408823864991,0.007376667696853061,18
1.3355460166931152,0.006421277255770064,488.02708768844604,6.112409489290766,euclidean,6,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 6, 'knn__weights': 'uniform'}",0.497483765031504,0.5068996993617618,0.49096563368832324,0.49001664241334025,0.5003988382727227,0.49715291575353043,0.006242661635734661,19
1.4268200397491455,0.08029418325543489,509.23396587371826,15.477162060443147,euclidean,4,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 4, 'knn__weights': 'uniform'}",0.4986758770946067,0.49380324179300583,0.48463314823896975,0.496455362045442,0.4917203894160537,0.4930576037176156,0.004825460096869107,20
